Unnamed: 0,index,IUPAC,isomeric_SMILES,BaseMaterial,Alloy,Method,AggressiveComponent,Operating_Concentration_mM,IE,References,Year,Journal,canonical_SMILES,transformed_IE,transformed_smiles,transformed_alloy,transformed_base_material
880,245,sodium 4-dodecylbenzenesulfonate (Sodium dodecylbenzenesulphonate),CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,10,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],65.88177509975425,AAAAAAAAAAAAaraaa{E{~B}{~B}<BM>}aar!<DaT>,SAMPLE_12,BASE_1
881,245,sodium 4-dodecylbenzenesulfonate (Sodium dodecylbenzenesulphonate),CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,10,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],65.88177509975425,AAAAAAAAAAAAaraaa{E{~B}{~B}<BM>}aar!<DaT>,SAMPLE_12,BASE_1
882,245,sodium 4-dodecylbenzenesulfonate (Sodium dodecylbenzenesulphonate),CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,10,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],65.88177509975425,AAAAAAAAAAAAaraaa{E{~B}{~B}<BM>}aar!<DaT>,SAMPLE_12,BASE_1
883,245,sodium 4-dodecylbenzenesulfonate (Sodium dodecylbenzenesulphonate),CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],Al,AA7075-T6,optical inspection,0.1M NaCl,1.0,10,"WINKLER, D. A., BREEDON, M., WHITE, P., HUGHES, A. E., SAPPER, E. D. & COLE, I.",2016,Corrosion Science,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1.[Na+],65.88177509975425,AAAAAAAAAAAAaraaa{E{~B}{~B}<BM>}aar!<DaT>,SAMPLE_12,BASE_1
884,246,2-(undecylamino)acetic acid (N-undecylglycine),CCCCCCCCCCCNCC(=O)O,Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,19,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,CCCCCCCCCCCNCC(=O)O,64.86134949399732,AAAAAAAAAAADAA{~B}B,SAMPLE_37,BASE_1
885,247,"4,4′-((1E,1′E)-((3,3′-dimethoxy-[1,1′-biphenyl]-4,4′-diyl)bis(azaneylylidene))bis(methaneylylidene))bis(N-decyl-N,Ndimethylbenzenaminium)(I10)",CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,96.08,New Gemini surfactants based on alkyl benzenaminium: Synthesis and links to application of corrosion protection,2021,Journal of Molecular Liquids,CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],35.53144807903265,AAAAAAAAAAA<DT>{A}{A}araaa{LA~DLaeaaa{Mataaa{LD~ALauaaa{<DT>{A}{A}AAAAAAAAAAA}aau}a{BA}at}aaeBA}aar!<XM>!<XM>,SAMPLE_23,BASE_3
886,247,"4,4′-((1E,1′E)-((3,3′-dimethoxy-[1,1′-biphenyl]-4,4′-diyl)bis(azaneylylidene))bis(methaneylylidene))bis(N-decyl-N,Ndimethylbenzenaminium)(I10)",CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.05,94.18,New Gemini surfactants based on alkyl benzenaminium: Synthesis and links to application of corrosion protection,2021,Journal of Molecular Liquids,CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],39.359077249605775,AAAAAAAAAAA<DT>{A}{A}araaa{LA~DLaeaaa{Mataaa{LD~ALauaaa{<DT>{A}{A}AAAAAAAAAAA}aau}a{BA}at}aaeBA}aar!<XM>!<XM>,SAMPLE_23,BASE_3
887,247,"4,4′-((1E,1′E)-((3,3′-dimethoxy-[1,1′-biphenyl]-4,4′-diyl)bis(azaneylylidene))bis(methaneylylidene))bis(N-decyl-N,Ndimethylbenzenaminium)(I10)",CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,97.39,New Gemini surfactants based on alkyl benzenaminium: Synthesis and links to application of corrosion protection,2021,Journal of Molecular Liquids,CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],31.59212251650125,AAAAAAAAAAA<DT>{A}{A}araaa{LA~DLaeaaa{Mataaa{LD~ALauaaa{<DT>{A}{A}AAAAAAAAAAA}aau}a{BA}at}aaeBA}aar!<XM>!<XM>,SAMPLE_23,BASE_3
888,247,"4,4′-((1E,1′E)-((3,3′-dimethoxy-[1,1′-biphenyl]-4,4′-diyl)bis(azaneylylidene))bis(methaneylylidene))bis(N-decyl-N,Ndimethylbenzenaminium)(I10)",CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.25,96.81,New Gemini surfactants based on alkyl benzenaminium: Synthesis and links to application of corrosion protection,2021,Journal of Molecular Liquids,CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],33.5356353656567,AAAAAAAAAAA<DT>{A}{A}araaa{LA~DLaeaaa{Mataaa{LD~ALauaaa{<DT>{A}{A}AAAAAAAAAAA}aau}a{BA}at}aaeBA}aar!<XM>!<XM>,SAMPLE_23,BASE_3
889,247,"4,4′-((1E,1′E)-((3,3′-dimethoxy-[1,1′-biphenyl]-4,4′-diyl)bis(azaneylylidene))bis(methaneylylidene))bis(N-decyl-N,Ndimethylbenzenaminium)(I10)",CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,5.0,97.39,New Gemini surfactants based on alkyl benzenaminium: Synthesis and links to application of corrosion protection,2021,Journal of Molecular Liquids,CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],31.59212251650125,AAAAAAAAAAA<DT>{A}{A}araaa{LA~DLaeaaa{Mataaa{LD~ALauaaa{<DT>{A}{A}AAAAAAAAAAA}aau}a{BA}at}aaeBA}aar!<XM>!<XM>,SAMPLE_23,BASE_3
890,247,"4,4′-((1E,1′E)-((3,3′-dimethoxy-[1,1′-biphenyl]-4,4′-diyl)bis(azaneylylidene))bis(methaneylylidene))bis(N-decyl-N,Ndimethylbenzenaminium)(I10)",CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,2.5,96.81,New Gemini surfactants based on alkyl benzenaminium: Synthesis and links to application of corrosion protection,2021,Journal of Molecular Liquids,CCCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],33.5356353656567,AAAAAAAAAAA<DT>{A}{A}araaa{LA~DLaeaaa{Mataaa{LD~ALauaaa{<DT>{A}{A}AAAAAAAAAAA}aau}a{BA}at}aaeBA}aar!<XM>!<XM>,SAMPLE_23,BASE_3
891,249,"C-Undecyl-N,N-diphenyltetrazolium Bromide",CCCCCCCCCCCc1nn[n+](-c2ccccc2)n1-c1ccccc1.[Br-],Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",10.0,52,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,CCCCCCCCCCCc1nn[n+](-c2ccccc2)n1-c1ccccc1.[Br-],59.7936464675983,AAAAAAAAAAAardd<dT>{Maeaaaaae}drMaraaaaar!<XM>,SAMPLE_37,BASE_1
892,249,"C-Undecyl-N,N-diphenyltetrazolium Bromide",CCCCCCCCCCCc1nn[n+](-c2ccccc2)n1-c1ccccc1.[Br-],Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",1.25,55,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,CCCCCCCCCCCc1nn[n+](-c2ccccc2)n1-c1ccccc1.[Br-],59.16858537032404,AAAAAAAAAAAardd<dT>{Maeaaaaae}drMaraaaaar!<XM>,SAMPLE_37,BASE_1
893,249,"C-Undecyl-N,N-diphenyltetrazolium Bromide",CCCCCCCCCCCc1nn[n+](-c2ccccc2)n1-c1ccccc1.[Br-],Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",2.5,56,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,CCCCCCCCCCCc1nn[n+](-c2ccccc2)n1-c1ccccc1.[Br-],58.950933839266604,AAAAAAAAAAAardd<dT>{Maeaaaaae}drMaraaaaar!<XM>,SAMPLE_37,BASE_1
894,249,"C-Undecyl-N,N-diphenyltetrazolium Bromide",CCCCCCCCCCCc1nn[n+](-c2ccccc2)n1-c1ccccc1.[Br-],Al,powder,H2 evolution,"1M HCl, 2.5% NaCl",5.0,58,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,CCCCCCCCCCCc1nn[n+](-c2ccccc2)n1-c1ccccc1.[Br-],58.50038350893013,AAAAAAAAAAAardd<dT>{Maeaaaaae}drMaraaaaar!<XM>,SAMPLE_37,BASE_1
895,249,"C-Undecyl-N,N-diphenyltetrazolium Bromide",CCCCCCCCCCCc1nn[n+](-c2ccccc2)n1-c1ccccc1.[Br-],Zn,unknown_probably_pure,H2 evolution,2.5% NaCl,10.0,87,"HORNER, L. & MEISEL, K.",1978,Werkstoffe Und Korrosion-Materials and Corrosion,CCCCCCCCCCCc1nn[n+](-c2ccccc2)n1-c1ccccc1.[Br-],47.142487478704545,AAAAAAAAAAAardd<dT>{Maeaaaaae}drMaraaaaar!<XM>,SAMPLE_40,BASE_5
896,250,sodium decyl sulfate(Decyl sulphate sodium salt),CCCCCCCCCCOS(=O)(=O)[O-].[Na+],Al,unknown_probably_pure,weight loss,1M HCl,0.001,65.6,Elewady et al.,2008,International Journal of Electrochemical Science,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],56.56711400872655,AAAAAAAAAABE{~B}{~B}<BM>!<DaT>,SAMPLE_40,BASE_1
897,250,sodium decyl sulfate(Decyl sulphate sodium salt),CCCCCCCCCCOS(=O)(=O)[O-].[Na+],Al,unknown_probably_pure,weight loss,1M HCl,0.003,67.2,Elewady et al.,2008,International Journal of Electrochemical Science,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],56.10583228058163,AAAAAAAAAABE{~B}{~B}<BM>!<DaT>,SAMPLE_40,BASE_1
898,250,sodium decyl sulfate(Decyl sulphate sodium salt),CCCCCCCCCCOS(=O)(=O)[O-].[Na+],Al,unknown_probably_pure,weight loss,1M HCl,0.005,68.9,Elewady et al.,2008,International Journal of Electrochemical Science,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],55.5903852858073,AAAAAAAAAABE{~B}{~B}<BM>!<DaT>,SAMPLE_40,BASE_1
899,250,sodium decyl sulfate(Decyl sulphate sodium salt),CCCCCCCCCCOS(=O)(=O)[O-].[Na+],Al,unknown_probably_pure,weight loss,1M HCl,0.007,69.7,Elewady et al.,2008,International Journal of Electrochemical Science,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],55.33799092375759,AAAAAAAAAABE{~B}{~B}<BM>!<DaT>,SAMPLE_40,BASE_1
900,250,sodium decyl sulfate(Decyl sulphate sodium salt),CCCCCCCCCCOS(=O)(=O)[O-].[Na+],Al,unknown_probably_pure,weight loss,1M HCl,0.009,71.2,Elewady et al.,2008,International Journal of Electrochemical Science,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],54.846256609898276,AAAAAAAAAABE{~B}{~B}<BM>!<DaT>,SAMPLE_40,BASE_1
901,250,sodium decyl sulfate(Decyl sulphate sodium salt),CCCCCCCCCCOS(=O)(=O)[O-].[Na+],Al,unknown_probably_pure,weight loss,1M HCl,0.011,71.3,Elewady et al.,2008,International Journal of Electrochemical Science,CCCCCCCCCCOS(=O)(=O)[O-].[Na+],54.812569321913465,AAAAAAAAAABE{~B}{~B}<BM>!<DaT>,SAMPLE_40,BASE_1
902,251,"bis(p-(N,N,N-decyldimethylammonium bromide)benzylidene thiourea (10-S-10)",CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.01,44.72,A novel Schiff base-based cationic gemini surfactants: Synthesis and effect on corrosion inhibition of carbon steel in hydrochloric acid solution,2009,Corrosion Science,CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],61.16127902789436,AAAAAAAAAA<DT>{A}{A}araaa{LA~DLA{~E}LD~ALaeaaa{<DT>{A}{A}AAAAAAAAAA}aae}aar!<XM>!<XM>,SAMPLE_23,BASE_3
903,251,"bis(p-(N,N,N-decyldimethylammonium bromide)benzylidene thiourea (10-S-10)",CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,72.87,A novel Schiff base-based cationic gemini surfactants: Synthesis and effect on corrosion inhibition of carbon steel in hydrochloric acid solution,2009,Corrosion Science,CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],54.2677155030078,AAAAAAAAAA<DT>{A}{A}araaa{LA~DLA{~E}LD~ALaeaaa{<DT>{A}{A}AAAAAAAAAA}aae}aar!<XM>!<XM>,SAMPLE_23,BASE_3
904,251,"bis(p-(N,N,N-decyldimethylammonium bromide)benzylidene thiourea (10-S-10)",CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.05,60.25,A novel Schiff base-based cationic gemini surfactants: Synthesis and effect on corrosion inhibition of carbon steel in hydrochloric acid solution,2009,Corrosion Science,CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],57.96712485758391,AAAAAAAAAA<DT>{A}{A}araaa{LA~DLA{~E}LD~ALaeaaa{<DT>{A}{A}AAAAAAAAAA}aae}aar!<XM>!<XM>,SAMPLE_23,BASE_3
905,251,"bis(p-(N,N,N-decyldimethylammonium bromide)benzylidene thiourea (10-S-10)",CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,87.78,A novel Schiff base-based cationic gemini surfactants: Synthesis and effect on corrosion inhibition of carbon steel in hydrochloric acid solution,2009,Corrosion Science,CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/C(=S)/N=C/c2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],46.5432189014176,AAAAAAAAAA<DT>{A}{A}araaa{LA~DLA{~E}LD~ALaeaaa{<DT>{A}{A}AAAAAAAAAA}aae}aar!<XM>!<XM>,SAMPLE_23,BASE_3
906,252,"4,4'-((1E,1'E)-((3,3'-dimethoxy-[1,1'-biphenyl]-4,4'-diyl)bis(azaneylylidene))bis(methaneylylidene))bis(N-decyl-N,Ndimethylbenzenaminium)(I10)",CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,97.76,New Gemini surfactants based on alkyl benzenaminium: Synthesis and links to application of corrosion protection,2021,Journal of Molecular Liquids,CCCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],30.111521308270582,AAAAAAAAAA<DT>{A}{A}araaa{LA~DLaeaaa{Mataaa{LD~ALauaaa{<DT>{A}{A}AAAAAAAAA}aau}a{BA}at}aaeBA}aar!<XM>!<XM>,SAMPLE_23,BASE_3
907,253,"bis(p-(N,N,N-decyldimethylammonium bromide)benzylidene thiourea (10-S-10)",CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,1.0,93.46,A novel Schiff base-based cationic gemini surfactants: Synthesis and effect on corrosion inhibition of carbon steel in hydrochloric acid solution,2009,Corrosion Science,CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],40.48871563828364,AAAAAAAAAA<DT>{A}{A}araaa{A~DA{~E}D~Aaeaaa{<DT>{A}{A}AAAAAAAAAA}aae}aar!<XM>!<XM>,SAMPLE_23,BASE_3
908,253,"bis(p-(N,N,N-decyldimethylammonium bromide)benzylidene thiourea (10-S-10)",CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,5.0,94.79,A novel Schiff base-based cationic gemini surfactants: Synthesis and effect on corrosion inhibition of carbon steel in hydrochloric acid solution,2009,Corrosion Science,CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],38.28674064765944,AAAAAAAAAA<DT>{A}{A}araaa{A~DA{~E}D~Aaeaaa{<DT>{A}{A}AAAAAAAAAA}aae}aar!<XM>!<XM>,SAMPLE_23,BASE_3
909,253,"bis(p-(N,N,N-decyldimethylammonium bromide)benzylidene thiourea (10-S-10)",CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.01,44.72,A novel Schiff base-based cationic gemini surfactants: Synthesis and effect on corrosion inhibition of carbon steel in hydrochloric acid solution,2009,Corrosion Science,CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],61.16127902789436,AAAAAAAAAA<DT>{A}{A}araaa{A~DA{~E}D~Aaeaaa{<DT>{A}{A}AAAAAAAAAA}aae}aar!<XM>!<XM>,SAMPLE_23,BASE_3
910,253,"bis(p-(N,N,N-decyldimethylammonium bromide)benzylidene thiourea (10-S-10)",CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.05,60.25,A novel Schiff base-based cationic gemini surfactants: Synthesis and effect on corrosion inhibition of carbon steel in hydrochloric acid solution,2009,Corrosion Science,CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],57.96712485758391,AAAAAAAAAA<DT>{A}{A}araaa{A~DA{~E}D~Aaeaaa{<DT>{A}{A}AAAAAAAAAA}aae}aar!<XM>!<XM>,SAMPLE_23,BASE_3
911,253,"bis(p-(N,N,N-decyldimethylammonium bromide)benzylidene thiourea (10-S-10)",CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,72.87,A novel Schiff base-based cationic gemini surfactants: Synthesis and effect on corrosion inhibition of carbon steel in hydrochloric acid solution,2009,Corrosion Science,CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],54.2677155030078,AAAAAAAAAA<DT>{A}{A}araaa{A~DA{~E}D~Aaeaaa{<DT>{A}{A}AAAAAAAAAA}aae}aar!<XM>!<XM>,SAMPLE_23,BASE_3
912,253,"bis(p-(N,N,N-decyldimethylammonium bromide)benzylidene thiourea (10-S-10)",CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,87.78,A novel Schiff base-based cationic gemini surfactants: Synthesis and effect on corrosion inhibition of carbon steel in hydrochloric acid solution,2009,Corrosion Science,CCCCCCCCCC[N+](C)(C)c1ccc(C=NC(=S)N=Cc2ccc([N+](C)(C)CCCCCCCCCC)cc2)cc1.[Br-].[Br-],46.5432189014176,AAAAAAAAAA<DT>{A}{A}araaa{A~DA{~E}D~Aaeaaa{<DT>{A}{A}AAAAAAAAAA}aae}aar!<XM>!<XM>,SAMPLE_23,BASE_3
913,255,"4,4′-((1E,1′E)-((3,3′-dimethoxy-[1,1′-biphenyl]-4,4′-diyl)bis azaneylylidene))bis(methaneylylidene))bis(N,N-dimethyl-N-octylbenzenaminium) bromide(I8)",CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.1,95.35,New Gemini surfactants based on alkyl benzenaminium: Synthesis and links to application of corrosion protection,2021,Journal of Molecular Liquids,CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],37.18542404041392,AAAAAAAAA<DT>{A}{A}araaa{LA~DLaeaaa{Mataaa{LD~ALauaaa{<DT>{A}{A}AAAAAAAAA}aau}a{BA}at}aaeBA}aar!<XM>!<XM>,SAMPLE_23,BASE_3
914,255,"4,4′-((1E,1′E)-((3,3′-dimethoxy-[1,1′-biphenyl]-4,4′-diyl)bis azaneylylidene))bis(methaneylylidene))bis(N,N-dimethyl-N-octylbenzenaminium) bromide(I8)",CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.05,90.61,New Gemini surfactants based on alkyl benzenaminium: Synthesis and links to application of corrosion protection,2021,Journal of Molecular Liquids,CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],43.991889792881345,AAAAAAAAA<DT>{A}{A}araaa{LA~DLaeaaa{Mataaa{LD~ALauaaa{<DT>{A}{A}AAAAAAAAA}aau}a{BA}at}aaeBA}aar!<XM>!<XM>,SAMPLE_23,BASE_3
915,255,"4,4′-((1E,1′E)-((3,3′-dimethoxy-[1,1′-biphenyl]-4,4′-diyl)bis azaneylylidene))bis(methaneylylidene))bis(N,N-dimethyl-N-octylbenzenaminium) bromide(I8)",CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],Fe,Carbon Steel,potentiodynamic polarization,1.0M HCL,0.5,96.7,New Gemini surfactants based on alkyl benzenaminium: Synthesis and links to application of corrosion protection,2021,Journal of Molecular Liquids,CCCCCCCCC[N+](C)(C)c1ccc(/C=N/c2ccc(-c3ccc(/N=C/c4ccc([N+](C)(C)CCCCCCCCC)cc4)c(OC)c3)cc2OC)cc1.[Br-].[Br-],33.86397479327592,AAAAAAAAA<DT>{A}{A}araaa{LA~DLaeaaa{Mataaa{LD~ALauaaa{<DT>{A}{A}AAAAAAAAA}aau}a{BA}at}aaeBA}aar!<XM>!<XM>,SAMPLE_23,BASE_3
